Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BAT1,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,170.434,-84.831,0,top
BAT2,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,170.434,-92.578,0,top
BOOT1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,145.9992,-41.4528,0,top
C1,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.194,-71.247,-90,top
C2,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.0472,-75.4888,0,top
C11,6.8uF,CP_Elec_4x5.8,165.387,-55.995,0,top
C21,6.8uF,CP_Elec_4x5.8,180.1,-55.995,0,top
C31,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,116.6876,-44.0944,-90,top
C41,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.9952,-41.4045,90,top
C42,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,116.713,-40.8345,90,top
CAM1,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,106.172,-41.651,0,top
D1,SS34,D_SMA,176.6824,-91.9988,-90,top
IMU1,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,132.6896,-64.516,90,top
LED1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,110.983,-35.306,-90,top
LED2,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,149.718,-35.306,-90,top
M1,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,116.205,-72.898,-90,top
M2,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,169.794,-40.513,90,top
M3,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,177.795,-40.513,90,top
M4,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,123.703,-72.898,-90,top
MCU1,ESP32-WROOM-32,ESP32-WROOM-32,127.381,-48.387,0,top
MD1,A3909,SSOP-10_3.9x4.9mm_P1.00mm,118.745,-66.421,-90,top
MD2,A3909,SSOP-10_3.9x4.9mm_P1.00mm,175.133,-47.244,90,top
R11,30K,R_0402_1005Metric,160.147,-58.293,180,top
R12,10K,R_0402_1005Metric,156.718,-60.452,-90,top
R21,36K,R_0402_1005Metric,174.623,-58.293,180,top
R22,10K,R_0402_1005Metric,171.2468,-60.4012,-90,top
R31,10K,R_0402_1005Metric,153.8224,-51.1556,0,top
R32,10K,R_0402_1005Metric,153.7716,-43.7388,0,top
R61,20K,R_0402_1005Metric,184.3532,-62.8904,90,top
R62,1K,R_0402_1005Metric,184.3532,-59.3852,90,top
SW1,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,170.434,-101.092,0,top
SW31,SW_Push,SW_SPST_Omron_B3FS-100xP,160.3756,-48.9056,180,top
SW32,SW_Push,SW_SPST_Omron_B3FS-100xP,160.3756,-41.5036,180,top
SW33,SW_DIP_x02,SW_DIP_SPSTx02_Slide_Omron_A6H-2101_W6.15mm_P1.27mm,141.0208,-43.5864,-90,top
U0,AMS1117-3.3,SOT-223-3_TabPin2,150.876,-69.596,90,top
U1,SPX2900,TO-263-5_TabPin3,163.322,-67.806,-90,top
U2,SPX2900,TO-263-5_TabPin3,177.8,-67.806,-90,top
