Comment,Designator,Footprint,LCSC
Conn_01x02_Male,"BAT1,CAM1,M1,SW1,BAT2,M2,M3,M4",Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
Conn_01x03_Male,"BOOT1,LED1,LED2",Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
10uF,"C1,C2",Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C315248
6.8uF,"C11,C21",Capacitor_SMD:CP_Elec_4x5.8,C336258
1uF,C31,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C14445
22uF,C41,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C86295
0.1uF,C42,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C513772
SS34,D1,Diode_SMD:D_SMA,C8678
Conn_01x04_Male,IMU1,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
ESP32-WROOM-32,MCU1,RF_Module:ESP32-WROOM-32,C701343
A3909,"MD1,MD2",Package_SO:SSOP-10_3.9x4.9mm_P1.00mm,C2653462
30K,R11,Resistor_SMD:R_0402_1005Metric,C138008
10K,"R12,R22,R31,R32",Resistor_SMD:R_0402_1005Metric,C144807
36K,R21,Resistor_SMD:R_0402_1005Metric,C25556
20K,R61,Resistor_SMD:R_0402_1005Metric,C25765
1K,R62,Resistor_SMD:R_0402_1005Metric,C226166
SW_Push,"SW31,SW32",Button_Switch_SMD:SW_SPST_Omron_B3FS-100xP,C87038
SW_DIP_x02,SW33,Button_Switch_SMD:SW_DIP_SPSTx02_Slide_Omron_A6H-2101_W6.15mm_P1.27mm,
AMS1117-3.3,U0,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C173386
SPX2900,"U1,U2",Package_TO_SOT_SMD:TO-263-5_TabPin3,C9013
