Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C11,10uF,C_0201_0603Metric,162.6108,-84.1248,0,top
C12,10uF,C_0201_0603Metric,162.6108,-86.5632,0,top
C31,1uF,C_0201_0603Metric,117.0432,-75.8444,0,top
C41,10uF,C_0201_0603Metric,117.0432,-68.834,0,top
C42,0.1uF,C_0201_0603Metric,117.0432,-73.5076,0,top
C51,1uF,C_0201_0603Metric,140.2588,-84.4296,90,top
D81,LED,LED_0201_0603Metric,85.2932,-65.2272,-90,top
D82,LED,LED_0201_0603Metric,81.4324,-65.2007,-90,top
J41,Conn_01x02_Male,PinSocket_1x02_P2.54mm_Vertical,184.6322,-85.0592,0,top
J51,Conn_01x03_Male,PinSocket_1x03_P2.54mm_Vertical,146.6854,-84.9226,180,top
R31,1K,R_0402_1005Metric,117.0432,-71.1708,0,top
R41,20K,R_0402_1005Metric,172.7708,-88.7476,0,top
R42,1K,R_0402_1005Metric,177.1904,-88.7476,0,top
R51,1K,R_0402_1005Metric,117.0432,-88.2904,0,top
R61,1K,R_0402_1005Metric,117.0432,-78.232,180,top
R62,1K,R_0402_1005Metric,117.0432,-80.7212,180,top
R63,1K,R_0402_1005Metric,117.0432,-83.2612,180,top
R64,1K,R_0402_1005Metric,117.0432,-85.8012,180,top
R71,1K,R_0402_1005Metric,146.7104,-76.8096,0,top
R72,1K,R_0402_1005Metric,146.7104,-63.2968,0,top
R73,1K,R_0402_1005Metric,146.7104,-71.40448,0,top
R74,1K,R_0402_1005Metric,146.7104,-68.70192,0,top
R75,1K,R_0402_1005Metric,146.7104,-65.99936,0,top
R76,1K,R_0402_1005Metric,146.7104,-74.10704,0,top
R81,205,R_0402_1005Metric,85.2932,-68.7324,90,top
R82,205,R_0402_1005Metric,81.4324,-68.6816,90,top
SW31,SW_Push,SW_SPST_PTS645,107.9754,-65.8876,0,top
SW51,SW_Push,SW_SPST_PTS645,108.1786,-85.2932,0,top
SW61,SW_Push,SW_SPST_PTS645,95.3516,-65.8876,0,top
SW62,SW_Push,SW_SPST_PTS645,82.7278,-75.5396,0,top
SW63,SW_Push,SW_SPST_PTS645,107.9754,-75.5904,0,top
SW64,SW_Push,SW_SPST_PTS645,95.3516,-85.1916,0,top
SW71,SW_Push,SW_SPST_PTS645,155.8544,-76.454,0,top
SW72,SW_Push,SW_SPST_PTS645,155.6512,-67.274,0,top
SW73,SW_Push,SW_SPST_PTS645,168.2816,-67.274,0,top
SW74,SW_Push,SW_SPST_PTS645,181.4068,-76.454,0,top
SW75,SW_Push,SW_SPST_PTS645,180.912,-67.274,0,top
SW76,SW_Push,SW_SPST_PTS645,168.5456,-76.454,0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,156.0068,-85.6488,180,top
U2,ESP32-WROOM-32,ESP32-WROOM-32,129.2352,-75.8112,0,top
