Comment,Designator,Footprint,LCSC
"10uF","C11,C12,C41","Capacitor_SMD:C_0201_0603Metric",""
"1uF","C31,C51","Capacitor_SMD:C_0201_0603Metric",""
"0.1uF","C42","Capacitor_SMD:C_0201_0603Metric",""
"LED","D81,D82","LED_SMD:LED_0201_0603Metric",""
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad",""
"Conn_01x02_Male","J41","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"Conn_01x03_Male","J51","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"1K","R31,R42,R51,R61,R62,R63,R64,R71,R72,R73,R74,R75,R76","Resistor_SMD:R_0402_1005Metric",""
"20K","R41","Resistor_SMD:R_0402_1005Metric",""
"205","R81,R82","Resistor_SMD:R_0402_1005Metric",""
"SW_Push","SW31,SW51,SW61,SW62,SW63,SW64,SW71,SW72,SW73,SW74,SW75,SW76","Button_Switch_SMD:SW_SPST_PTS645",""
"AMS1117-3.3","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"ESP32-WROOM-32","U2","RF_Module:ESP32-WROOM-32",""
